Logged started on,19/07/2020 22:11:08
Feature,MEMS Sensor Fusion (Compact)
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,qi,qj,qk,qs
19/07/2020 22:24:11.395,782859,AM1V310 @395930,37817,000000000000,0,0,0,1
19/07/2020 22:24:11.395,782860,AM1V310 @395930,37817,000000000000,0,0,0,1
19/07/2020 22:24:11.395,782860,AM1V310 @395930,37817,000000000000,0,0,0,1
19/07/2020 22:24:11.425,782878,AM1V310 @395930,37821,000000000000,0,0,0,1
19/07/2020 22:24:11.425,782878,AM1V310 @395930,37821,000000000000,0,0,0,1
19/07/2020 22:24:11.425,782878,AM1V310 @395930,37821,000000000000,0,0,0,1
19/07/2020 22:24:11.455,782909,AM1V310 @395930,37824,000000000000,0,0,0,1
19/07/2020 22:24:11.455,782909,AM1V310 @395930,37824,000000000000,0,0,0,1
19/07/2020 22:24:11.455,782909,AM1V310 @395930,37824,000000000000,0,0,0,1
19/07/2020 22:24:11.484,782938,AM1V310 @395930,37828,000000000000,0,0,0,1
19/07/2020 22:24:11.484,782938,AM1V310 @395930,37828,000000000000,0,0,0,1
19/07/2020 22:24:11.484,782938,AM1V310 @395930,37828,000000000000,0,0,0,1
19/07/2020 22:24:11.514,782967,AM1V310 @395930,37832,000000000000,0,0,0,1
19/07/2020 22:24:11.514,782967,AM1V310 @395930,37832,000000000000,0,0,0,1
19/07/2020 22:24:11.514,782967,AM1V310 @395930,37832,000000000000,0,0,0,1
19/07/2020 22:24:11.545,782998,AM1V310 @395930,37836,FFFFFEFF0200,-0.0001,-0.0002,0.0002,0.9999999
19/07/2020 22:24:11.545,782998,AM1V310 @395930,37836,5EFD86065126,-0.0674,0.167,0.9809,0.07350782
19/07/2020 22:24:11.545,782998,AM1V310 @395930,37836,000000000000,0,0,0,1
19/07/2020 22:24:11.574,783028,AM1V310 @395930,37840,7CFD84065426,-0.0644,0.1668,0.9812,0.07264281
19/07/2020 22:24:11.574,783028,AM1V310 @395930,37840,6AFD86065226,-0.0662,0.167,0.981,0.07326334
19/07/2020 22:24:11.574,783028,AM1V310 @395930,37840,70FD84065226,-0.0656,0.1668,0.981,0.07425207
19/07/2020 22:24:11.635,783089,AM1V310 @395930,37843,8CFD8E065326,-0.0628,0.1678,0.9811,0.07308944
19/07/2020 22:24:11.635,783089,AM1V310 @395930,37843,8FFD9D065126,-0.0625,0.1693,0.9809,0.07257016
19/07/2020 22:24:11.635,783089,AM1V310 @395930,37843,8AFDA3065026,-0.063,0.1699,0.9808,0.07208601
19/07/2020 22:24:11.652,783105,AM1V310 @395930,37847,88FD9D065126,-0.0632,0.1693,0.9809,0.07196146
19/07/2020 22:24:11.652,783106,AM1V310 @395930,37847,87FDA3065026,-0.0633,0.1699,0.9808,0.07182258
19/07/2020 22:24:11.652,783106,AM1V310 @395930,37847,8AFD99065226,-0.063,0.1689,0.981,0.07171296
19/07/2020 22:24:11.667,783121,AM1V310 @395930,37851,7DFD99065226,-0.0643,0.1689,0.981,0.07054988
19/07/2020 22:24:11.667,783121,AM1V310 @395930,37851,86FD97065226,-0.0634,0.1687,0.981,0.0718313
19/07/2020 22:24:11.667,783121,AM1V310 @395930,37851,88FD98065226,-0.0632,0.1688,0.981,0.07177236
19/07/2020 22:24:11.697,783151,AM1V310 @395930,37855,65FDA1065026,-0.0667,0.1697,0.9808,0.06916939
19/07/2020 22:24:11.697,783151,AM1V310 @395930,37855,71FD9D065126,-0.0655,0.1693,0.9809,0.06987456
19/07/2020 22:24:11.697,783151,AM1V310 @395930,37855,65FDA4065026,-0.0667,0.17,0.9808,0.06842866
19/07/2020 22:24:11.725,783179,AM1V310 @395930,37858,6CFDA2065026,-0.066,0.1698,0.9808,0.06959421
19/07/2020 22:24:11.725,783179,AM1V310 @395930,37858,72FDA0065126,-0.0654,0.1696,0.9809,0.06923787
19/07/2020 22:24:11.725,783179,AM1V310 @395930,37858,70FDA1065126,-0.0656,0.1697,0.9809,0.06880219
19/07/2020 22:24:11.754,783208,AM1V310 @395930,37862,76FD9E065126,-0.065,0.1694,0.9809,0.07009855
19/07/2020 22:24:11.754,783208,AM1V310 @395930,37862,79FD9C065226,-0.0647,0.1692,0.981,0.06945661
19/07/2020 22:24:11.754,783208,AM1V310 @395930,37862,7CFD9A065226,-0.0644,0.169,0.981,0.07021834
19/07/2020 22:24:11.785,783238,AM1V310 @395930,37866,7FFD98065226,-0.0641,0.1688,0.981,0.0709698
19/07/2020 22:24:11.785,783238,AM1V310 @395930,37866,81FD95065326,-0.0639,0.1685,0.9811,0.07047888
