Logged started on,19/07/2020 22:11:08
Feature,Gyroscope
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
19/07/2020 22:30:03.506,1134960,AM1V310 @395930,81838,0800EEFF1D00,0.8,-1.8,2.9
19/07/2020 22:30:03.567,1135020,AM1V310 @395930,81844,060010001C00,0.6,1.6,2.8
19/07/2020 22:30:03.627,1135081,AM1V310 @395930,81850,1C000E001100,2.8,1.4,1.7
19/07/2020 22:30:03.657,1135110,AM1V310 @395930,81856,1F00EEFF2800,3.1,-1.8,4
19/07/2020 22:30:03.716,1135170,AM1V310 @395930,81863,FCFF02002E00,-0.4,0.2,4.6
19/07/2020 22:30:03.776,1135230,AM1V310 @395930,81869,FBFFE2FF2700,-0.5,-3,3.9
19/07/2020 22:30:03.807,1135260,AM1V310 @395930,81875,FCFF09001700,-0.4,0.9,2.3
19/07/2020 22:30:03.870,1135324,AM1V310 @395930,81881,F4FF0F000A00,-1.2,1.5,1
19/07/2020 22:30:03.927,1135380,AM1V310 @395930,81888,020002000E00,0.2,0.2,1.4
19/07/2020 22:30:03.956,1135409,AM1V310 @395930,81894,F4FF08000700,-1.2,0.8,0.7
19/07/2020 22:30:04.017,1135470,AM1V310 @395930,81900,F5FF07000100,-1.1,0.7,0.1
19/07/2020 22:30:04.076,1135530,AM1V310 @395930,81906,DAFFF7FF1000,-3.8,-0.9,1.6
19/07/2020 22:30:04.107,1135561,AM1V310 @395930,81913,DEFF07001200,-3.4,0.7,1.8
19/07/2020 22:30:04.168,1135622,AM1V310 @395930,81919,0A000C00FDFF,1,1.2,-0.3
19/07/2020 22:30:04.227,1135681,AM1V310 @395930,81925,F7FFF5FF1E00,-0.9,-1.1,3
19/07/2020 22:30:04.256,1135710,AM1V310 @395930,81931,150002002800,2.1,0.2,4
19/07/2020 22:30:04.317,1135772,AM1V310 @395930,81938,1200F3FF2600,1.8,-1.3,3.8
,936299,AM1V310 @395930,57001,0200FDFF1300,0.2,-0.3,1.9
19/07/2020 22:26:44.995,936450,AM1V310 @395930,57013,0100FEFF1400,0.1,-0.2,2
19/07/2020 22:26:44.995,936450,AM1V310 @395930,57007,0200FEFF1300,0.2,-0.2,1.9
19/07/2020 22:26:45.019,936473,AM1V310 @395930,57019,020000001400,0.2,0,2
19/07/2020 22:26:45.128,936582,AM1V310 @395930,57026,0200FEFF1300,0.2,-0.2,1.9
19/07/2020 22:26:45.128,936583,AM1V310 @395930,57032,0200FEFF1400,0.2,-0.2,2
19/07/2020 22:26:45.147,936600,AM1V310 @395930,57038,0200FEFF1400,0.2,-0.2,2
19/07/2020 22:26:45.387,936841,AM1V310 @395930,57044,0200FEFF1400,0.2,-0.2,2
19/07/2020 22:26:45.409,936862,AM1V310 @395930,57051,0200FFFF1400,0.2,-0.1,2
19/07/2020 22:26:45.409,936862,AM1V310 @395930,57057,0200FFFF1400,0.2,-0.1,2
19/07/2020 22:26:45.409,936862,AM1V310 @395930,57063,0200FEFF1400,0.2,-0.2,2
19/07/2020 22:26:45.420,936873,AM1V310 @395930,57069,0200FFFF1400,0.2,-0.1,2
19/07/2020 22:26:45.446,936900,AM1V310 @395930,57076,0200FEFF1300,0.2,-0.2,1.9
19/07/2020 22:26:45.507,936960,AM1V310 @395930,57082,0200FFFF1400,0.2,-0.1,2
19/07/2020 22:26:45.567,937021,AM1V310 @395930,57088,0200FEFF1400,0.2,-0.2,2
19/07/2020 22:26:45.627,937081,AM1V310 @395930,57094,0200FEFF1400,0.2,-0.2,2
19/07/2020 22:26:45.656,937110,AM1V310 @395930,57101,0200FEFF1300,0.2,-0.2,1.9
19/07/2020 22:26:45.717,937170,AM1V310 @395930,57107,0200FEFF1400,0.2,-0.2,2
19/07/2020 22:26:45.747,937200,AM1V310 @395930,57113,0200FEFF1300,0.2,-0.2,1.9
19/07/2020 22:26:45.807,937261,AM1V310 @395930,57119,0200FFFF1400,0.2,-0.1,2
19/07/2020 22:26:45.867,937321,AM1V310 @395930,57126,0200FEFF1400,0.2,-0.2,2
19/07/2020 22:26:45.897,937351,AM1V310 @395930,57132,0200FFFF1400,0.2,-0.1,2
19/07/2020 22:26:45.957,937410,AM1V310 @395930,57138,0200FEFF1400,0.2,-0.2,2
19/07/2020 22:26:46.047,937501,AM1V310 @395930,57144,0200FEFF1300,0.2,-0.2,1.9
19/07/2020 22:26:46.069,937523,AM1V310 @395930,57151,0200FFFF1400,0.2,-0.1,2
19/07/2020 22:26:46.107,937560,AM1V310 @395930,57157,0200FEFF1400,0.2,-0.2,2
19/07/2020 22:26:46.167,937620,AM1V310 @395930,57163,0100FEFF1400,0.1,-0.2,2
19/07/2020 22:26:46.227,937681,AM1V310 @395930,57169,0200FFFF1400,0.2,-0.1,2
19/07/2020 22:26:46.256,937709,AM1V310 @395930,57176,010000001400,0.1,0,2
19/07/2020 22:26:46.347,937801,AM1V310 @395930,57182,0200FEFF1300,0.2,-0.2,1.9
19/07/2020 22:26:46.369,937823,AM1V310 @395930,57188,040052005D00,0.4,8.2,9.3
19/07/2020 22:26:46.407,937860,AM1V310 @395930,57194,230000001C00,3.5,0,2.8
19/07/2020 22:26:46.467,937920,AM1V310 @395930,57201,0500F5FF1500,0.5,-1.1,2.1
19/07/2020 22:26:46.499,937953,AM1V310 @395930,57207,630048FF1700,9.9,-18.4,2.3
19/07/2020 22:26:46.557,938010,AM1V310 @395930,57213,F2FF1700E7FF,-1.4,2.3,-2.5
19/07/2020 22:26:46.617,938071,AM1V310 @395930,57219,2D00C2FE0B00,4.5,-31.8,1.1
19/07/2020 22:26:46.646,938100,AM1V310 @395930,57226,5A0058004300,9,8.8,6.7
19/07/2020 22:26:46.706,938160,AM1V310 @395930,57232,38FF370178FF,-20,31.1,-13.6
19/07/2020 22:26:46.767,938220,AM1V310 @395930,57238,2900200143FF,4.1,28.8,-18.9
19/07/2020 22:26:46.796,938249,AM1V310 @395930,57244,02FF1E0059FF,-25.4,3,-16.7
19/07/2020 22:26:46.856,938309,AM1V310 @395930,57251,D4FE05019BFF,-30,26.1,-10.1
19/07/2020 22:26:46.917,938371,AM1V310 @395930,57257,37FE8B011C00,-45.7,39.5,2.8
19/07/2020 22:26:46.947,938400,AM1V310 @395930,57263,DEFD10041601,-54.6,104,27.8
19/07/2020 22:26:47.007,938460,AM1V310 @395930,57269,44FD6302BD00,-70,61.1,18.9
19/07/2020 22:26:47.066,938520,AM1V310 @395930,57276,BDFD6A020801,-57.9,61.8,26.4
19/07/2020 22:26:47.097,938550,AM1V310 @395930,57282,E9FFBE007E00,-2.3,19,12.6
19/07/2020 22:26:47.156,938610,AM1V310 @395930,57288,1C0047FEF8FF,2.8,-44.1,-0.8
