sr_no,HostTimestamp,NodeTimestamp_x,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y_dps,Z_dps,move_type
15,2369698,308015,-207,-1045,-42,280,-210,-295,4.3,1.7,-14.6,D
16,2369759,308021,-119,-1015,-64,288,-216,-297,-5.2,2.6,-25.7,D
17,2369789,308028,-118,-1008,-17,288,-211,-300,-7.7,5.2,-22.7,D
18,2369848,308034,-118,-1008,-17,297,-223,-300,-7.7,5.2,-22.7,D
19,2369909,308040,14,-895,-23,294,-232,-304,2.1,-1.1,-25.8,D
20,2369938,308046,-54,-975,-20,294,-246,-301,17.7,-0.7,-28.4,D
21,2369999,308053,-16,-1015,77,285,-258,-316,21.5,-8.3,-30.3,D
22,2370059,308059,93,-969,-7,291,-262,-315,16.1,0,-31.6,D
23,2370088,308065,45,-1003,20,280,-274,-331,17.1,2.3,-24.8,D
24,2370148,308071,33,-1038,105,273,-274,-346,28.8,9.5,-17.5,D
25,2370208,308078,150,-1020,145,270,-273,-352,22.4,10.2,-11.2,D
26,2370238,308084,105,-1033,79,267,-279,-357,16.3,10,-1.7,D
27,2370299,308090,32,-1096,138,253,-271,-364,18.5,2.5,5.1,D
28,2370359,308096,76,-1124,248,252,-276,-375,11,2.6,3,D
29,2370388,308103,111,-1034,132,243,-270,-366,2.8,3.9,7.2,D
30,2370449,308109,99,-997,148,250,-267,-373,1.6,1.7,2.6,D
31,2370509,308115,105,-992,175,241,-255,-379,0,-2.4,8.4,D
32,2370538,308121,4,-1007,162,244,-265,-375,1.7,-0.3,10.2,D
33,2370598,308128,16,-1011,178,244,-259,-373,4.5,-1.6,7.4,D
34,2370659,308134,-144,-1056,328,243,-256,-384,-6.4,7.4,-1.7,D
35,2370691,308140,77,-983,198,243,-262,-388,5.1,1.1,-7,D
36,2370748,308146,66,-1015,212,241,-258,-382,7.8,2.1,-5.4,D
37,2370808,308153,58,-1029,176,231,-258,-384,2,5.2,4.6,D
